date,school_closing,workplace_closing,contact_tracing,facial_coverings,stringency_index,SDI,daily_confirm_cases
2020-04-20,3.0,3.0,2.0,2.0,76.85,67.0,1
2020-04-21,3.0,3.0,2.0,2.0,76.85,67.0,0
2020-04-22,3.0,3.0,2.0,2.0,76.85,63.0,3
2020-04-23,3.0,3.0,2.0,2.0,76.85,66.0,0
2020-04-24,3.0,3.0,2.0,2.0,76.85,64.0,1
2020-04-25,3.0,3.0,2.0,2.0,76.85,70.0,0
2020-04-26,3.0,3.0,2.0,2.0,76.85,77.0,0
2020-04-27,3.0,3.0,2.0,2.0,76.85,63.0,0
2020-04-28,3.0,3.0,2.0,2.0,76.85,61.0,4
2020-04-29,3.0,3.0,2.0,2.0,76.85,61.0,1
2020-04-30,3.0,3.0,2.0,2.0,76.85,61.0,3
2020-05-01,3.0,3.0,2.0,2.0,76.85,57.0,0
2020-05-02,3.0,3.0,2.0,2.0,76.85,65.0,0
2020-05-03,3.0,3.0,2.0,2.0,76.85,73.0,1
2020-05-04,3.0,3.0,2.0,2.0,76.85,61.0,2
2020-05-05,3.0,2.0,2.0,2.0,73.15,55.0,1
2020-05-06,3.0,2.0,2.0,2.0,73.15,58.0,3
2020-05-07,3.0,2.0,2.0,2.0,73.15,56.0,0
2020-05-08,3.0,2.0,2.0,2.0,73.15,52.0,0
2020-05-09,3.0,2.0,2.0,2.0,73.15,62.0,1
2020-05-10,3.0,2.0,2.0,2.0,73.15,67.0,0
2020-05-11,3.0,2.0,2.0,2.0,73.15,56.0,0
2020-05-12,3.0,2.0,2.0,2.0,73.15,58.0,0
2020-05-13,3.0,2.0,2.0,2.0,73.15,55.0,1
2020-05-14,3.0,2.0,2.0,2.0,73.15,55.0,0
2020-05-15,3.0,2.0,2.0,2.0,73.15,50.0,0
2020-05-16,3.0,2.0,2.0,2.0,73.15,62.0,0
2020-05-17,3.0,2.0,2.0,2.0,73.15,66.0,0
2020-05-18,3.0,2.0,2.0,2.0,73.15,53.0,0
2020-05-19,3.0,2.0,2.0,2.0,73.15,54.0,0
2020-05-20,3.0,2.0,2.0,2.0,73.15,55.0,0
2020-05-21,3.0,2.0,2.0,2.0,73.15,52.0,3
2020-05-22,3.0,2.0,2.0,2.0,73.15,46.0,2
2020-05-23,3.0,2.0,2.0,2.0,73.15,56.0,2
2020-05-24,3.0,2.0,2.0,2.0,73.15,64.0,0
2020-05-25,3.0,2.0,2.0,2.0,73.15,67.0,0
2020-05-26,3.0,2.0,2.0,2.0,73.15,49.0,1
2020-05-27,3.0,2.0,2.0,2.0,73.15,46.0,1
2020-05-28,3.0,2.0,2.0,2.0,73.15,44.0,1
2020-05-29,3.0,2.0,2.0,2.0,73.15,41.0,7
2020-05-30,3.0,2.0,2.0,2.0,73.15,53.0,8
2020-05-31,3.0,2.0,2.0,2.0,73.15,63.0,2
2020-06-01,3.0,2.0,2.0,2.0,71.3,45.0,1
2020-06-02,3.0,2.0,2.0,2.0,71.3,41.0,6
2020-06-03,3.0,2.0,2.0,2.0,71.3,45.0,3
2020-06-04,3.0,2.0,2.0,2.0,71.3,42.0,7
2020-06-05,3.0,2.0,2.0,2.0,71.3,37.0,14
2020-06-06,3.0,2.0,2.0,2.0,71.3,50.0,17
2020-06-07,3.0,2.0,2.0,2.0,71.3,58.0,4
2020-06-08,3.0,2.0,2.0,2.0,71.3,44.0,8
2020-06-09,3.0,2.0,2.0,2.0,71.3,42.0,0
2020-06-10,3.0,2.0,2.0,2.0,71.3,44.0,7
2020-06-11,3.0,2.0,2.0,2.0,71.3,48.0,18
2020-06-12,3.0,2.0,2.0,2.0,71.3,42.0,25
2020-06-13,3.0,2.0,2.0,2.0,71.3,50.0,0
2020-06-14,3.0,2.0,2.0,2.0,71.3,50.0,15
2020-06-15,3.0,2.0,2.0,2.0,71.3,46.0,2
2020-06-16,3.0,2.0,2.0,2.0,71.3,45.0,3
2020-06-17,3.0,2.0,2.0,2.0,71.3,41.0,13
2020-06-18,3.0,2.0,2.0,2.0,71.3,40.0,11
2020-06-19,3.0,2.0,2.0,2.0,71.3,36.0,13
2020-06-20,3.0,2.0,2.0,2.0,71.3,43.0,5
2020-06-21,3.0,2.0,2.0,2.0,71.3,52.0,23
2020-06-22,3.0,2.0,2.0,2.0,71.3,44.0,2
2020-06-23,3.0,2.0,2.0,2.0,71.3,39.0,14
2020-06-24,3.0,2.0,2.0,2.0,71.3,35.0,7
2020-06-25,3.0,2.0,2.0,2.0,71.3,34.0,17
2020-06-26,3.0,2.0,2.0,2.0,71.3,29.0,25
2020-06-27,3.0,2.0,2.0,2.0,71.3,46.0,19
2020-06-28,3.0,2.0,2.0,2.0,71.3,50.0,24
2020-06-29,3.0,2.0,2.0,2.0,71.3,47.0,6
2020-06-30,3.0,2.0,2.0,2.0,71.3,43.0,38
2020-07-01,3.0,2.0,2.0,2.0,71.3,39.0,20
2020-07-02,3.0,2.0,2.0,3.0,71.3,36.0,34
2020-07-03,3.0,2.0,2.0,3.0,71.3,38.0,25
2020-07-04,3.0,2.0,2.0,3.0,71.3,52.0,38
2020-07-05,3.0,2.0,2.0,3.0,71.3,47.0,18
2020-07-06,3.0,2.0,2.0,3.0,71.3,44.0,19
2020-07-07,3.0,2.0,2.0,3.0,71.3,47.0,18
2020-07-08,3.0,2.0,2.0,3.0,71.3,44.0,26
2020-07-09,3.0,2.0,2.0,3.0,71.3,40.0,16
2020-07-10,3.0,2.0,2.0,3.0,71.3,42.0,23
2020-07-11,3.0,2.0,2.0,3.0,71.3,46.0,15
2020-07-12,3.0,2.0,2.0,3.0,71.3,47.0,25
2020-07-13,3.0,2.0,2.0,3.0,71.3,44.0,14
2020-07-14,3.0,2.0,2.0,3.0,71.3,47.0,21
