date,school_closing,workplace_closing,contact_tracing,facial_coverings,stringency_index,SDI,daily_confirm_cases,tourist
2020-04-20,3.0,3.0,2.0,2.0,76.85,67.0,1,313
2020-04-21,3.0,3.0,2.0,2.0,76.85,67.0,0,360
2020-04-22,3.0,3.0,2.0,2.0,76.85,63.0,3,318
2020-04-23,3.0,3.0,2.0,2.0,76.85,66.0,1,368
2020-04-24,3.0,3.0,2.0,2.0,76.85,64.0,3,330
2020-04-25,3.0,3.0,2.0,2.0,76.85,70.0,3,386
2020-04-26,3.0,3.0,2.0,2.0,76.85,77.0,1,401
2020-04-27,3.0,3.0,2.0,2.0,76.85,63.0,0,363
2020-04-28,3.0,3.0,2.0,2.0,76.85,61.0,0,357
2020-04-29,3.0,3.0,2.0,2.0,76.85,61.0,3,460
2020-04-30,3.0,3.0,2.0,2.0,76.85,61.0,0,451
2020-05-01,3.0,3.0,2.0,2.0,76.85,57.0,1,511
2020-05-02,3.0,3.0,2.0,2.0,76.85,65.0,0,637
2020-05-03,3.0,3.0,2.0,2.0,76.85,73.0,0,557
2020-05-04,3.0,3.0,2.0,2.0,76.85,61.0,0,644
2020-05-05,3.0,2.0,2.0,2.0,73.15,55.0,4,581
2020-05-06,3.0,2.0,2.0,2.0,73.15,58.0,1,478
2020-05-07,3.0,2.0,2.0,2.0,73.15,56.0,3,579
2020-05-08,3.0,2.0,2.0,2.0,73.15,52.0,0,615
2020-05-09,3.0,2.0,2.0,2.0,73.15,62.0,0,669
2020-05-10,3.0,2.0,2.0,2.0,73.15,67.0,1,658
2020-05-11,3.0,2.0,2.0,2.0,73.15,56.0,2,698
2020-05-12,3.0,2.0,2.0,2.0,73.15,58.0,1,746
2020-05-13,3.0,2.0,2.0,2.0,73.15,55.0,3,651
2020-05-14,3.0,2.0,2.0,2.0,73.15,55.0,0,769
2020-05-15,3.0,2.0,2.0,2.0,73.15,50.0,0,844
2020-05-16,3.0,2.0,2.0,2.0,73.15,62.0,1,833
2020-05-17,3.0,2.0,2.0,2.0,73.15,66.0,0,899
2020-05-18,3.0,2.0,2.0,2.0,73.15,53.0,0,1060
2020-05-19,3.0,2.0,2.0,2.0,73.15,54.0,0,916
2020-05-20,3.0,2.0,2.0,2.0,73.15,55.0,1,1042
2020-05-21,3.0,2.0,2.0,2.0,73.15,52.0,0,965
2020-05-22,3.0,2.0,2.0,2.0,73.15,46.0,0,753
2020-05-23,3.0,2.0,2.0,2.0,73.15,56.0,0,912
2020-05-24,3.0,2.0,2.0,2.0,73.15,64.0,0,838
2020-05-25,3.0,2.0,2.0,2.0,73.15,67.0,0,870
2020-05-26,3.0,2.0,2.0,2.0,73.15,49.0,0,763
2020-05-27,3.0,2.0,2.0,2.0,73.15,46.0,0,873
2020-05-28,3.0,2.0,2.0,2.0,73.15,44.0,3,899
2020-05-29,3.0,2.0,2.0,2.0,73.15,41.0,2,928
2020-05-30,3.0,2.0,2.0,2.0,73.15,53.0,2,1098
2020-05-31,3.0,2.0,2.0,2.0,73.15,63.0,0,1228
2020-06-01,3.0,2.0,2.0,2.0,71.3,45.0,0,1408
2020-06-02,3.0,2.0,2.0,2.0,71.3,41.0,1,1377
2020-06-03,3.0,2.0,2.0,2.0,71.3,45.0,1,1301
2020-06-04,3.0,2.0,2.0,2.0,71.3,42.0,1,1444
2020-06-05,3.0,2.0,2.0,2.0,71.3,37.0,7,1270
2020-06-06,3.0,2.0,2.0,2.0,71.3,50.0,8,1479
2020-06-07,3.0,2.0,2.0,2.0,71.3,58.0,2,1636
2020-06-08,3.0,2.0,2.0,2.0,71.3,44.0,1,1580
2020-06-09,3.0,2.0,2.0,2.0,71.3,42.0,6,1382
2020-06-10,3.0,2.0,2.0,2.0,71.3,44.0,3,1284
2020-06-11,3.0,2.0,2.0,2.0,71.3,48.0,7,1496
2020-06-12,3.0,2.0,2.0,2.0,71.3,42.0,14,1126
2020-06-13,3.0,2.0,2.0,2.0,71.3,50.0,17,1900
2020-06-14,3.0,2.0,2.0,2.0,71.3,50.0,4,1648
2020-06-15,3.0,2.0,2.0,2.0,71.3,46.0,8,1575
2020-06-16,3.0,2.0,2.0,2.0,71.3,45.0,0,1474
2020-06-17,3.0,2.0,2.0,2.0,71.3,41.0,7,1258
2020-06-18,3.0,2.0,2.0,2.0,71.3,40.0,18,1575
2020-06-19,3.0,2.0,2.0,2.0,71.3,36.0,25,1328
2020-06-20,3.0,2.0,2.0,2.0,71.3,43.0,0,1475
2020-06-21,3.0,2.0,2.0,2.0,71.3,52.0,15,1340
2020-06-22,3.0,2.0,2.0,2.0,71.3,44.0,2,1534
2020-06-23,3.0,2.0,2.0,2.0,71.3,39.0,3,1340
2020-06-24,3.0,2.0,2.0,2.0,71.3,35.0,13,1365
2020-06-25,3.0,2.0,2.0,2.0,71.3,34.0,11,1513
2020-06-26,3.0,2.0,2.0,2.0,71.3,29.0,13,1159
2020-06-27,3.0,2.0,2.0,2.0,71.3,46.0,5,1717
2020-06-28,3.0,2.0,2.0,2.0,71.3,50.0,23,1432
2020-06-29,3.0,2.0,2.0,2.0,71.3,47.0,2,1517
2020-06-30,3.0,2.0,2.0,2.0,71.3,43.0,14,1654
2020-07-01,3.0,2.0,2.0,2.0,71.3,39.0,7,1982
2020-07-02,3.0,2.0,2.0,3.0,71.3,36.0,17,2347
2020-07-03,3.0,2.0,2.0,3.0,71.3,38.0,25,2129
2020-07-04,3.0,2.0,2.0,3.0,71.3,52.0,19,1801
2020-07-05,3.0,2.0,2.0,3.0,71.3,47.0,24,1780
2020-07-06,3.0,2.0,2.0,3.0,71.3,44.0,6,2402
2020-07-07,3.0,2.0,2.0,3.0,71.3,47.0,38,2395
2020-07-08,3.0,2.0,2.0,3.0,71.3,44.0,20,2182
2020-07-09,3.0,2.0,2.0,3.0,71.3,40.0,34,2538
2020-07-10,3.0,2.0,2.0,3.0,71.3,42.0,25,2098
2020-07-11,3.0,2.0,2.0,3.0,71.3,46.0,38,2047
2020-07-12,3.0,2.0,2.0,3.0,71.3,47.0,18,1943
2020-07-13,3.0,2.0,2.0,3.0,71.3,44.0,19,2310
2020-07-14,3.0,2.0,2.0,3.0,71.3,47.0,18,2050
2020-07-15,3.0,2.0,2.0,3.0,71.3,35.0,26,2079
2020-07-16,3.0,2.0,2.0,3.0,71.3,35.0,16,2318
2020-07-17,3.0,2.0,2.0,3.0,82.41,52.0,23,1686
2020-07-18,3.0,2.0,2.0,3.0,82.41,48.0,15,1838
2020-07-19,3.0,2.0,2.0,3.0,82.41,46.0,25,1872
2020-07-20,3.0,2.0,2.0,3.0,82.41,45.0,14,2325
2020-07-21,3.0,2.0,2.0,3.0,82.41,40.0,21,1972
2020-07-22,3.0,2.0,2.0,3.0,82.41,39.0,17,2071
2020-07-23,3.0,2.0,2.0,3.0,82.41,37.0,50,1989
2020-07-24,3.0,2.0,2.0,3.0,82.41,38.0,58,1702
2020-07-25,3.0,2.0,2.0,3.0,82.41,43.0,66,1710
2020-07-26,3.0,2.0,2.0,3.0,82.41,70.0,54,791
2020-07-27,3.0,2.0,2.0,3.0,82.41,47.0,28,2315
2020-07-28,3.0,2.0,2.0,3.0,82.41,38.0,46,1993
2020-07-29,3.0,2.0,2.0,3.0,82.41,39.0,97,2086
2020-07-30,3.0,2.0,2.0,3.0,82.41,36.0,121,2308
2020-07-31,3.0,2.0,2.0,3.0,82.41,40.0,118,2384
2020-08-01,3.0,2.0,2.0,3.0,82.41,38.0,87,3069
2020-08-02,3.0,2.0,2.0,3.0,82.41,44.0,44,2696
2020-08-03,3.0,2.0,2.0,3.0,82.41,41.0,197,3116
2020-08-04,3.0,2.0,2.0,3.0,82.41,48.0,138,2628
2020-08-05,3.0,2.0,2.0,3.0,82.41,42.0,173,2481
2020-08-06,3.0,2.0,2.0,3.0,82.41,44.0,147,2814
2020-08-07,3.0,2.0,2.0,3.0,82.41,44.0,200,1896
2020-08-08,3.0,2.0,2.0,3.0,82.41,47.0,223,2020
2020-08-09,3.0,2.0,2.0,3.0,82.41,52.0,147,2279
2020-08-10,3.0,2.0,2.0,3.0,82.41,45.0,138,2701
2020-08-11,3.0,2.0,2.0,3.0,82.41,50.0,112,2049
2020-08-12,3.0,2.0,2.0,3.0,82.41,37.0,197,1771
2020-08-13,3.0,2.0,2.0,3.0,82.41,32.0,342,1743
2020-08-14,3.0,2.0,2.0,3.0,82.41,32.0,217,1800
2020-08-15,3.0,2.0,2.0,3.0,82.41,33.0,273,2054
2020-08-16,3.0,2.0,2.0,3.0,82.41,40.0,201,1924
2020-08-17,3.0,2.0,2.0,3.0,82.41,35.0,163,1965
2020-08-18,3.0,2.0,2.0,3.0,82.41,30.0,124,1810
2020-08-19,3.0,2.0,2.0,3.0,82.41,33.0,233,1915
2020-08-20,3.0,2.0,2.0,3.0,82.41,31.0,229,2447
2020-08-21,3.0,2.0,2.0,3.0,82.41,32.0,207,1443
2020-08-22,3.0,2.0,2.0,3.0,82.41,36.0,259,1779
